COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;MAR/2024;03/2024;0;0;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;ABR/2024;04/2024;0;0;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;FEV/2024;02/2024;9.509,36;1.170,08;0,17%;0,02%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;MAR/2024;03/2024;0;1.585,04;0,00%;0,03%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;ABR/2024;04/2024;0;1.585,04;0,00%;0,03%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;MAI/2024;05/2024;6.000,00;1.585,04;0,11%;0,03%
339036;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;33903602;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;JAN/2024;01/2024;500;0;0,01%;0,00%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;JAN/2024;01/2024;6.000,00;0;0,11%;0,00%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;MAR/2024;03/2024;6.700,00;4.582,41;0,12%;0,08%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;ABR/2024;04/2024;5.000,00;567,41;0,09%;0,01%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;JUN/2024;06/2024;0;4.452,95;0,00%;0,08%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;JAN/2024;01/2024;221,22;0;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;FEV/2024;02/2024;0;147,48;0,00%;0,00%
